client_id,program_name,provider,entry_date,exit_date,exited_flag,exit_interview_completed,exit_destination,income_at_exit_range,permanent_housing_flag
C00001,OTHER_COC,Provider_06,2022-03-08,2022-06-24,1,1,No Exit Interview completed,"$2,001+",0
C00002,OTHER_COC,Provider_12,2023-02-03,2023-05-19,1,1,"Rental by client, with ongoing housing subsidy","$2,001+",0
C00003,HHCM,Provider_03,2023-06-09,2023-11-09,1,1,Staying with friends (temporary),No Income,0
C00004,OTHER_COC,Provider_08,2022-03-07,2022-12-02,1,1,Staying with family (temporary),"$2,001+",0
C00005,OTHER_COC,Provider_15,2023-07-21,2023-12-27,1,1,"Rental by client, with ongoing housing subsidy","$2,001+",1
C00006,OTHER_COC,Provider_08,2023-09-18,2023-12-31,1,1,"Rental by client, with ongoing housing subsidy",Data Not Collected,0
C00007,OTHER_COC,Provider_10,2022-10-04,2023-01-07,1,1,Staying with friends (temporary),"$1,001–$1,500",1
C00008,CEA,Provider_13,2022-09-10,2023-03-02,1,1,Staying with friends (temporary),"$2,001+",1
C00009,OTHER_COC,Provider_15,2023-02-27,2023-04-24,1,1,Other,No Income,1
C00010,SHI,Provider_02,2023-09-01,2023-12-31,1,1,No Exit Interview completed,Data Not Collected,0
C00011,OTHER_COC,Provider_02,2023-09-18,2023-12-30,1,1,Staying with friends (temporary),$251–$500,1
C00012,SHI,Provider_08,2023-11-02,2023-12-31,0,1,Staying with family (temporary),Data Not Collected,0
C00013,OTHER_COC,Provider_17,2023-04-06,2023-12-31,0,1,Staying with family (temporary),Data Not Collected,0
C00014,OTHER_COC,Provider_07,2023-09-26,2023-11-20,1,1,"Rental by client, no ongoing housing subsidy","$2,001+",0
C00015,OTHER_COC,Provider_03,2023-12-06,2023-12-31,0,1,Staying with friends (temporary),Data Not Collected,0
C00016,OTHER_COC,Provider_08,2023-03-08,2023-05-07,1,1,No Exit Interview completed,"$2,001+",0
C00017,OTHER_COC,Provider_01,2023-04-25,2023-10-03,1,1,Staying with family (temporary),No Income,1
C00018,OTHER_COC,Provider_02,2022-01-04,2022-04-18,1,1,Staying with friends (temporary),"$2,001+",1
C00019,OTHER_COC,Provider_02,2022-11-27,2023-04-13,1,1,Staying with family (temporary),"$2,001+",0
C00020,OTHER_COC,Provider_01,2023-12-08,2023-12-31,1,1,Staying with friends (temporary),Data Not Collected,0
C00021,OTHER_COC,Provider_10,2023-01-05,2023-11-10,1,1,Other,$151–$250,0
C00022,OTHER_COC,Provider_03,2023-04-01,2023-08-31,1,1,"Rental by client, no ongoing housing subsidy","$2,001+",1
C00023,CEA,Provider_02,2022-03-24,2023-03-24,1,1,"Rental by client, with ongoing housing subsidy",No Income,0
C00024,CEA,Provider_07,2022-05-06,2022-08-28,1,1,Emergency shelter (voucher),Data Not Collected,0
C00025,OTHER_COC,Provider_03,2023-02-14,2023-08-10,1,1,"Rental by client, with ongoing housing subsidy","$2,001+",0
C00026,OTHER_COC,Provider_06,2023-05-05,2023-10-09,1,1,Emergency shelter (voucher),"$2,001+",0
C00027,HHCM,Provider_03,2022-06-30,2023-02-25,1,1,"Rental by client, no ongoing housing subsidy","$2,001+",0
C00028,OTHER_COC,Provider_01,2023-04-01,2023-07-16,1,1,Staying with friends (temporary),"$1,001–$1,500",1
C00029,CEA,Provider_08,2023-02-26,2023-07-03,1,1,Staying with friends (temporary),"$2,001+",0
C00030,HHCM,Provider_01,2023-02-10,2023-10-08,1,1,Staying with friends (temporary),No Income,0
C00031,OTHER_COC,Provider_02,2022-04-01,2022-09-05,1,1,Staying with family (temporary),"$2,001+",0
C00032,OTHER_COC,Provider_02,2023-05-11,2023-10-07,1,1,"Rental by client, no ongoing housing subsidy","$2,001+",0
C00033,OTHER_COC,Provider_03,2023-12-18,2023-12-31,1,1,Staying with friends (temporary),Data Not Collected,0
C00034,HHCM,Provider_02,2022-12-23,2023-04-26,1,1,Place not meant for habitation,"$2,001+",1
C00035,OTHER_COC,Provider_03,2023-04-12,2023-09-03,1,1,"Rental by client, no ongoing housing subsidy","$1,501–$2,000",1
C00036,OTHER_COC,Provider_02,2022-03-24,2022-06-30,1,1,"Rental by client, no ongoing housing subsidy","$2,001+",1
C00037,SHI,Provider_01,2023-07-13,2023-12-31,1,1,Staying with family (temporary),Data Not Collected,1
C00038,OTHER_COC,Provider_13,2022-12-24,2023-05-15,1,1,Emergency shelter (voucher),"$2,001+",0
C00039,HHCM,Provider_03,2023-10-13,2023-12-31,0,1,Staying with family (temporary),Data Not Collected,0
C00040,HHCM,Provider_01,2022-11-24,2023-02-23,1,1,Staying with family (temporary),No Income,1
C00041,OTHER_COC,Provider_07,2023-01-13,2023-09-26,1,1,"Rental by client, with ongoing housing subsidy","$2,001+",1
C00042,OTHER_COC,Provider_01,2022-12-18,2023-03-14,1,1,"Rental by client, with ongoing housing subsidy",Data Not Collected,1
C00043,OTHER_COC,Provider_12,2023-05-30,2023-12-31,0,1,Staying with friends (temporary),Data Not Collected,0
C00044,SHI,Provider_01,2023-07-17,2023-12-31,0,1,Staying with family (permanent),Data Not Collected,0
C00045,OTHER_COC,Provider_07,2023-09-07,2023-12-31,1,1,Staying with family (temporary),Data Not Collected,0
C00046,HHCM,Provider_15,2023-02-22,2023-09-10,1,1,"Rental by client, with ongoing housing subsidy","$2,001+",0
C00047,HHCM,Provider_02,2023-09-22,2023-12-31,1,1,"Rental by client, with ongoing housing subsidy",Data Not Collected,0
C00048,OTHER_COC,Provider_02,2023-04-30,2023-12-31,1,0,No Exit Interview completed,Data Not Collected,0
C00049,OTHER_COC,Provider_08,2023-07-06,2023-12-31,0,1,Emergency shelter (voucher),Data Not Collected,0
C00050,OTHER_COC,Provider_15,2023-08-09,2023-10-17,1,1,Staying with family (temporary),"$1,001–$1,500",1
C00051,OTHER_COC,Provider_05,2023-06-21,2023-12-31,1,1,"Rental by client, no ongoing housing subsidy",Data Not Collected,0
C00052,OTHER_COC,Provider_08,2022-02-05,2022-06-10,1,1,Staying with family (temporary),"$2,001+",0
C00053,HHCM,Provider_02,2022-07-13,2023-03-10,1,1,Place not meant for habitation,"$2,001+",0
C00054,OTHER_COC,Provider_08,2023-07-28,2023-11-15,1,0,No Exit Interview completed,"$2,001+",1
C00055,OTHER_COC,Provider_03,2022-10-16,2023-02-03,1,1,Other,No Income,1
C00056,SHI,Provider_08,2023-12-04,2023-12-31,1,1,"Rental by client, with ongoing housing subsidy",Data Not Collected,0
C00057,SHI,Provider_01,2023-05-12,2023-12-31,1,0,No Exit Interview completed,Data Not Collected,0
C00058,HHCM,Provider_07,2022-07-25,2022-11-25,1,1,Staying with family (temporary),No Income,0
C00059,HHCM,Provider_02,2023-04-04,2023-10-14,1,1,Staying with friends (temporary),"$2,001+",0
C00060,OTHER_COC,Provider_08,2023-06-10,2023-12-31,1,1,"Rental by client, with ongoing housing subsidy","$2,001+",0
C00061,OTHER_COC,Provider_10,2022-12-31,2023-12-31,1,1,Staying with family (temporary),"$2,001+",1
C00062,OTHER_COC,Provider_13,2022-08-08,2022-12-27,1,1,Staying with family (temporary),"$2,001+",0
C00063,OTHER_COC,Provider_16,2022-01-30,2022-06-17,1,1,Staying with friends (temporary),"$2,001+",0
C00064,OTHER_COC,Provider_06,2023-01-18,2023-08-08,1,1,Emergency shelter (voucher),"$2,001+",1
C00065,OTHER_COC,Provider_08,2023-11-08,2023-12-31,1,1,"Rental by client, with ongoing housing subsidy",Data Not Collected,0
C00066,OTHER_COC,Provider_01,2022-08-29,2023-05-16,1,1,Staying with family (temporary),"$2,001+",1
C00067,OTHER_COC,Provider_14,2023-12-19,2023-12-31,0,1,Staying with family (temporary),Data Not Collected,0
C00068,OTHER_COC,Provider_08,2022-10-11,2023-01-30,1,1,"Rental by client, with ongoing housing subsidy","$1,001–$1,500",0
C00069,OTHER_COC,Provider_06,2023-02-12,2023-12-31,1,1,No Exit Interview completed,Data Not Collected,0
C00070,OTHER_COC,Provider_06,2023-05-31,2023-09-26,1,1,Staying with friends (temporary),"$2,001+",0
C00071,OTHER_COC,Provider_11,2023-04-22,2023-11-19,1,1,Emergency shelter (voucher),"$2,001+",0
