provider,program_name,exited_clients,missing_exit_interviews,missing_income,median_days_in_program,missing_exit_interview_rate,missing_income_rate,watch_flag
Provider_02,HHCM,35,7,14,122.5,0.2,0.4,1
Provider_01,SHI,41,4,28,182.0,0.0975609756097561,0.6829268292682927,1
Provider_12,OTHER_COC,80,7,14,126.5,0.0875,0.175,1
Provider_02,OTHER_COC,153,12,40,121.0,0.0784313725490196,0.261437908496732,1
Provider_03,SHI,31,2,17,271.5,0.064516129032258,0.5483870967741935,1
Provider_01,OTHER_COC,185,11,37,123.0,0.0594594594594594,0.2,1
Provider_07,OTHER_COC,91,4,24,120.0,0.0439560439560439,0.2637362637362637,1
Provider_08,SHI,46,2,28,259.0,0.0434782608695652,0.6086956521739131,1
Provider_08,HHCM,47,2,11,172.0,0.0425531914893617,0.2340425531914893,1
Provider_10,OTHER_COC,95,4,20,124.0,0.0421052631578947,0.2105263157894736,1
